Name,Bush (Republican) Votes,Kerry (Democratic) Votes,Nader (Independent) Votes,Badnarik (Libertarian) Votes,Peroutka (Constitution) Votes,Cobb (Green) Votes,Other Votes,Margin Votes,Total Votes
Alabama,1176394,693933,6701,3529,1994,0,898,482461,1883449
Alaska,190889,111025,5069,1675,2092,1058,790,79864,312598
Arizona,1104294,893524,2773,11856,0,138,0,210770,2012585
Arkansas,572898,469953,6171,2352,2083,1488,0,102945,1054945
California,5509826,6745485,20714,50165,26645,40771,27747,"−1,235,659",12421353
Colorado,1101255,1001732,12718,7664,2562,1591,2808,99523,2130330
Connecticut,693826,857488,12969,3367,1543,9564,12,"−163,662",1578769
Delaware,171660,200152,2153,586,289,250,100,"−28,492",375190
District of Columbia,21256,202970,1485,502,0,737,636,"−181,714",227586
Florida,3964522,3583544,32971,11996,6626,3917,6234,380978,7609810
Georgia,1914254,1366149,2231,18387,580,228,46,548105,3301875
Hawaii,194191,231708,0,1377,0,1737,0,"−37,517",429013
Idaho,409235,181098,1115,3844,3084,58,13,228137,598447
Illinois,2345946,2891550,3571,32442,440,241,132,"−545,604",5274322
Indiana,1479438,969011,1328,18058,0,102,65,510427,2468002
Iowa,751957,741898,5973,2992,1304,1141,1643,10059,1506908
Kansas,736456,434993,9348,4013,2899,33,14,301463,1187756
Kentucky,1069439,712733,8856,2619,2213,0,22,356706,1795882
Louisiana,1102169,820299,7032,2781,5203,1276,4346,281870,1943106
Maine,330201,396842,8069,1965,735,2936,4,"−66,641",740752
Maryland,1024703,1334493,11854,6094,3421,3632,2481,"−309,790",2386678
Massachusetts,1071109,1803800,4806,15022,0,10623,7028,"−732,691",2912388
Michigan,2313746,2479183,24035,10552,4980,5325,1431,"−165,437",4839252
Minnesota,1346695,1445014,18683,4639,3074,4408,5874,"−98,319",2828387
Mississippi,684981,458094,3177,1793,1759,1073,1268,226887,1152145
Missouri,1455713,1259171,1294,9831,5355,0,0,196542,2731364
Montana,266063,173710,6168,1733,1764,996,11,92353,450445
Nebraska,512814,254328,5698,2041,1314,978,1013,258486,778186
Nevada,418690,397190,4838,3176,1152,853,3688,21500,829587
New Hampshire,331237,340511,4479,372,161,0,978,"−9,274",677738
New Jersey,1670003,1911430,19418,4514,2750,1807,1769,"−241,427",3611691
New Mexico,376930,370942,4053,2382,771,1226,0,5988,756304
New York,2962567,4314280,99873,11607,207,87,2415,"−1,351,713",7391036
North Carolina,1961166,1525849,1805,11731,0,108,348,435317,3501007
North Dakota,196651,111052,3756,851,514,0,9,85599,312833
Ohio,2859768,2741167,0,14676,11939,192,166,118601,5627908
Oklahoma,959792,503966,0,0,0,0,0,455826,1463758
Oregon,866831,943163,0,7260,5257,5315,8956,"−76,332",1836782
Pennsylvania,2793847,2938095,2656,21185,6318,6319,1170,"−144,248",5769590
Rhode Island,169046,259765,4651,907,339,1333,1093,"−90,719",437134
South Carolina,937974,661699,5520,3608,5317,1488,2124,276275,1617730
South Dakota,232584,149244,4320,964,1103,0,0,83340,388215
Tennessee,1384375,1036477,8992,4866,2570,33,6,347898,2437319
Texas,4526917,2832704,9159,38787,1636,1014,548,1694213,7410765
Utah,663742,241199,11305,3375,6841,39,1343,422543,927844
Vermont,121180,184067,4494,1102,0,0,1466,"−62,887",312309
Virginia,1716959,1454742,2393,11032,10161,104,2976,262217,3198367
Washington,1304894,1510201,23283,11955,3922,2974,1855,"−205,307",2859084
West Virginia,423778,326541,4063,1405,82,5,13,97237,755887
Wisconsin,1478120,1489504,16390,6464,0,2661,3868,"−11,384",2997007
Wyoming,167629,70776,2741,1171,631,0,480,96853,243428
