Name,Obama (Democratic) Votes,McCain (Republican) Votes,Nader (Independent) Votes,Barr (Libertarian) Votes,Baldwin (Constitution) Votes,McKinney (Green) Votes,Other Votes,Margin Votes,Total Votes
Alabama,813479,1266546,6788,4991.0,4310.0,0,3705.0,-453067,2099819
Alaska,123594,193841,3783,1589.0,1660.0,0,1730.0,-70247,326197
Arizona,1034707,1230111,11301,12555.0,1371.0,3406,24.0,-195404,2293475
Arkansas,422310,638017,12882,4776.0,4023.0,3470,1139.0,-215707,1086617
California,8274473,5011781,108381,67582.0,3145.0,38774,57764.0,3262692,13561900
Colorado,1288633,1073629,13352,10898.0,6233.0,2822,5895.0,215004,2401462
Connecticut,997772,629428,19162,0.0,311.0,90,34.0,368344,1646797
Delaware,255459,152374,2401,1109.0,626.0,385,58.0,103085,412412
District of Columbia,245800,17367,958,0.0,0.0,590,1138.0,228433,265853
Florida,4282074,4045624,28124,17218.0,7915.0,2887,6902.0,236450,8390744
Georgia,1844123,2048759,1158,28731.0,1402.0,250,63.0,-204636,3924486
Hawaii,325871,120566,3825,1314.0,1013.0,979,0.0,205305,453568
Idaho,236440,403012,7175,3658.0,4747.0,39,51.0,-166572,655122
Illinois,3419348,2031179,30948,19642.0,8256.0,11838,1160.0,1388169,5522371
Indiana,1374039,1345648,909,29257.0,1024.0,87,90.0,28391,2751054
Iowa,828940,682379,8014,4590.0,4445.0,1423,7332.0,146561,1537123
Kansas,514765,699655,10527,6706.0,4148.0,35,36.0,-184890,1235872
Kentucky,751985,1048462,15378,5989.0,4694.0,0,112.0,-296477,1826620
Louisiana,782989,1148275,6997,0.0,2581.0,9187,10732.0,-365286,1960761
Maine,421923,295273,10636,251.0,177.0,2900,3.0,126650,731163
Maryland,1629467,959862,14713,9842.0,3760.0,4747,9205.0,669605,2631596
Massachusetts,1904097,1108854,28841,13189.0,4971.0,6550,14483.0,795243,3080985
Michigan,2872579,2048639,33085,23716.0,14685.0,8892,170.0,823940,5001766
Minnesota,1573354,1275409,30152,9174.0,6787.0,5174,10319.0,297945,2910369
Mississippi,554662,724597,4011,2529.0,2551.0,1034,481.0,-169935,1289865
Missouri,1441911,1445814,17813,11386.0,8201.0,80,0.0,-3903,2925205
Montana,231667,242763,3686,1355.0,143.0,23,10665.0,-11096,490302
Nebraska,333319,452979,5406,2740.0,2972.0,1028,2837.0,-119660,801281
Nevada,533736,412827,6150,4263.0,3194.0,1411,6267.0,120909,967848
New Hampshire,384826,316534,3503,2217.0,226.0,40,3624.0,68292,710970
New Jersey,2215422,1613207,21298,8441.0,3956.0,3636,2277.0,602215,3868237
New Mexico,472422,346832,5327,2428.0,1597.0,1552,0.0,125590,830158
New York,4804945,2752771,41249,19596.0,634.0,12801,8935.0,2052174,7640931
North Carolina,2142651,2128474,1448,25722.0,0.0,158,12336.0,14177,4310789
North Dakota,141278,168601,4189,1354.0,1199.0,0,0.0,-27323,316621
Ohio,2940044,2677820,42337,19917.0,12565.0,8518,7149.0,262224,5708350
Oklahoma,502496,960165,0,0.0,0.0,0,0.0,-457669,1462661
Oregon,1037291,738475,18614,7635.0,7693.0,4543,13613.0,298816,1827864
Pennsylvania,3276363,2655885,42977,19912.0,1092.0,0,17043.0,620478,6013272
Rhode Island,296571,165391,4829,1382.0,675.0,797,2121.0,131180,471766
South Carolina,862449,1034896,5053,7283.0,6827.0,4461,0.0,-172447,1920969
South Dakota,170924,203054,4267,1835.0,1895.0,0,0.0,-32130,381975
Tennessee,1087437,1479178,11560,8547.0,8191.0,2499,2337.0,-391741,2599749
Texas,3528633,4479328,5751,56116.0,5708.0,909,1350.0,-950695,8077795
Utah,327670,596030,8416,6966.0,12012.0,982,294.0,-268360,952370
Vermont,219262,98974,3339,1067.0,500.0,66,1838.0,120288,325046
Virginia,1959532,1725005,11483,11067.0,7474.0,2344,6355.0,234527,3723260
Washington,1750848,1229216,29489,12728.0,9432.0,3819,1346.0,521632,3036878
West Virginia,303857,397466,7219,0.0,2465.0,2355,89.0,-93609,713451
Wisconsin,1677211,1262393,17605,8858.0,5072.0,4216,8062.0,414818,2983417
Wyoming,82868,164958,2525,1594.0,1192.0,0,1521.0,-82090,254658
