Name,Obama (Democratic) Votes,Romney (Republican) Votes,Johnson (Libertarian) Votes,Stein (Green) Votes,Other Votes,Margin Votes,Total Votes
Alabama,795696.0,1255925.0,12328,3397,6992,-460229,2074338.0
Alaska,122640.0,164676.0,7392,2917,2870,-42036,300495.0
Arizona,1025232.0,1233654.0,32100,7816,452,-208422,2299254.0
Arkansas,394409.0,647744.0,16276,9305,1734,-253335,1069468.0
California,7854285.0,4839958.0,143221,85638,115445,3014327,13038547.0
Colorado,1323101.0,1185243.0,35545,7508,18121,137858,2569518.0
Connecticut,905083.0,634892.0,12580,863,5542,270191,1558960.0
Delaware,242584.0,165484.0,3882,1940,31,77100,413921.0
District of Columbia,267070.0,21381.0,2083,2458,772,245689,293764.0
Florida,4237756.0,4163447.0,44726,8947,19303,74309,8474179.0
Georgia,1773827.0,2078688.0,45324,1516,695,-304861,3900050.0
Hawaii,306658.0,121015.0,3840,3184,–,185643,434697.0
Idaho,212787.0,420911.0,9453,4402,4721,-208124,652274.0
Illinois,3019512.0,2135216.0,56229,30222,835,884296,5242014.0
Indiana,1152887.0,1420543.0,50111,625,368,-267656,2624534.0
Iowa,822544.0,730617.0,12926,3769,12324,91927,1582180.0
Kansas,440726.0,692634.0,20456,714,5441,-251908,1159971.0
Kentucky,679370.0,1087190.0,17063,6337,7252,-407820,1797212.0
Louisiana,809141.0,1152262.0,18157,6978,7527,-343121,1994065.0
Maine,177998.0,149215.0,4843,4170,–,28783,336226.0
Maryland,1677844.0,971869.0,30195,17110,10309,705975,2707327.0
Massachusetts,1921290.0,1188314.0,30920,20691,6552,732976,3167767.0
Michigan,2564569.0,2115256.0,7774,21897,21465,449313,4730961.0
Minnesota,1546167.0,1320225.0,35098,13023,22048,225942,2936561.0
Mississippi,562949.0,710746.0,6676,1588,3625,-147797,1285584.0
Missouri,1223796.0,1482440.0,43151,–,7936,-258644,2757323.0
Montana,201839.0,267928.0,14165,–,116,-66089,484048.0
Nebraska,72110.0,182067.0,3869,–,1177,-109957,259223.0
Nevada,531373.0,463567.0,10968,–,9010,67806,1014918.0
New Hampshire,369561.0,329918.0,8212,324,2957,39643,710972.0
New Jersey,2125101.0,1477568.0,21045,9888,6690,647533,3640292.0
New Mexico,415335.0,335788.0,27788,2691,2156,79547,783758.0
New York,4485741.0,2490431.0,47256,39982,17749,1995310,7081159.0
North Carolina,2178391.0,2270395.0,44515,–,12071,-92004,4505372.0
North Dakota,124827.0,188163.0,5231,1361,3045,-63336,322627.0
Ohio,2827709.0,2661437.0,49493,18573,23635,166272,5580847.0
Oklahoma,443547.0,891325.0,–,–,–,-447778,1334872.0
Oregon,970488.0,754175.0,24089,19427,21091,216313,1789270.0
Pennsylvania,2990274.0,2680434.0,49991,21341,11630,309840,5753670.0
Rhode Island,279677.0,157204.0,4388,2421,2359,122473,446049.0
South Carolina,865941.0,1071645.0,16321,5446,4765,-205704,1964118.0
South Dakota,145039.0,210610.0,5795,–,2371,-65571,363815.0
Tennessee,960709.0,1462330.0,18623,6515,10400,-501621,2458577.0
Texas,3308124.0,4569843.0,88580,24657,2647,-1261719,7993851.0
Utah,251813.0,740600.0,12572,3817,8638,-488787,1017440.0
Vermont,199239.0,92698.0,3487,594,3272,106541,299290.0
Virginia,1971820.0,1822522.0,31216,8627,20304,149298,3854489.0
Washington,1755396.0,1290670.0,42202,20928,16320,464726,3125516.0
West Virginia,238269.0,417655.0,6302,4406,3806,-179386,670438.0
Wisconsin,1620985.0,1407966.0,20439,7665,11379,213019,3068434.0
Wyoming,69286.0,170962.0,5326,–,3487,-101676,249061.0
