Name,Clinton (Democratic) Votes,Trump (Republican) Votes,Johnson (Libertarian) Votes,Stein (Green) Votes,McMullin (Independent) Votes,Other Votes,Margin Votes,Total Votes
Alabama,729547,1318255,44467,9391,0,21712,588708,2123372
Alaska,116454,163387,18725,5735,0,14307,46933,318608
Arizona,1161167,1252401,106327,34345,17449,32968,91234,2604657
Arkansas,380494,684872,29949,9473,13176,12712,304378,1130676
California,8753788,4483810,478500,278657,39596,147244,-4269978,14181595
Colorado,1338870,1202484,144121,38437,28917,27418,-136386,2780247
Connecticut,897572,673215,48676,22841,2108,508,-224357,1644920
Delaware,235603,185127,14757,6103,706,1518,-50476,443814
District of Columbia,282830,12723,4906,4258,0,6551,-270107,311268
Florida,4504975,4617886,207043,64399,0,25736,112911,9420039
Georgia,1877963,2089104,125306,7674,13017,1668,211141,4114732
Hawaii,266891,128847,15954,12737,0,4508,-138044,428937
Idaho,189765,409055,28331,8496,46476,8132,219290,690255
Illinois,3090729,2146015,209596,76802,11655,1627,-944714,5536424
Indiana,1033126,1557286,133993,7841,0,2712,524160,2734958
Iowa,653669,800983,59186,11479,12366,28348,147314,1566031
Kansas,427005,671018,55406,23506,6520,947,244013,1184402
Kentucky,628854,1202971,53752,13913,22780,1879,574177,1924149
Louisiana,780154,1178638,37978,14031,8547,9684,398484,2029032
Maine,357735,335593,38105,14251,1887,356,-22142,747927
Maryland,1677928,943169,79605,35945,9630,35169,-734759,2781446
Massachusetts,1995196,1090893,138018,47661,2719,50559,-904303,3325046
Michigan,2268839,2279543,172136,51463,8177,19126,10704,4799284
Minnesota,1367716,1322951,112972,36985,53076,51113,-44765,2944813
Mississippi,485131,700714,14435,3731,0,5346,215583,1209357
Missouri,1071068,1594511,97359,25419,7071,13177,523443,2808605
Montana,177709,279240,28037,7970,2297,1894,101531,497147
Nebraska,284494,495961,38946,8775,0,16051,211467,844227
Nevada,539260,512058,37384,0,0,36683,-27202,1125385
New Hampshire,348526,345790,30777,6496,1064,11643,-2736,744296
New Jersey,2148278,1601933,72477,37772,0,13586,-546345,3874046
New Mexico,385234,319667,74541,9879,5825,3173,-65567,798319
New York,4556124,2819534,176598,107934,10373,50890,-1736590,7721453
North Carolina,2189316,2362631,130126,12105,0,47386,173315,4741564
North Dakota,93758,216794,21434,3780,0,8594,123036,344360
Ohio,2394164,2841005,174498,46271,12574,27975,446841,5496487
Oklahoma,420375,949136,83481,0,0,0,528761,1452992
Oregon,1002106,782403,94231,50002,0,72594,-219703,2001336
Pennsylvania,2926441,2970733,146715,49941,6472,65176,44292,6165478
Rhode Island,252525,180543,14746,6220,516,9594,-71982,464144
South Carolina,855373,1155389,49204,13034,21016,9011,300016,2103027
South Dakota,117458,227721,20850,0,0,4064,110263,370093
Tennessee,870695,1522925,70397,15993,11991,16026,652230,2508027
Texas,3877868,4685047,283492,71558,42366,8895,807179,8969226
Utah,310676,515231,39608,9438,243690,12787,204555,1131430
Vermont,178573,95369,10078,6758,639,23650,-83204,315067
Virginia,1981473,1769443,118274,27638,54054,33749,-212030,3984631
Washington,1742718,1221747,160879,58417,0,133258,-520971,3317019
West Virginia,188794,489371,23004,8075,1104,4075,300577,714423
Wisconsin,1382536,1405284,106674,31072,11855,38729,22748,2976150
Wyoming,55973,174419,13287,2515,0,9655,118446,255849
