Name,Biden (Democratic) Votes,Trump (Republican) Votes,Jorgensen (Libertarian) Votes,Hawkins (Green) Votes,Other Votes,Margin Votes,Total Votes
Alabama,849624,1441170,25176,0,7312,-591546,2323282
Alaska,153778,189951,8897,0,6904,-36173,359530
Arizona,1672143,1661686,51465,1557,475,10457,3387326
Arkansas,423932,760647,13133,2980,18377,-336715,1219069
California,11110250,6006429,187895,81029,115278,5103821,17500881
Colorado,1804352,1364607,52460,8986,26575,439745,3256980
Connecticut,1080831,714717,20230,7538,541,366114,1823857
Delaware,296268,200603,5000,2139,336,95665,504346
District of Columbia,317323,18586,2036,1726,4685,298737,344356
Florida,5297045,5668731,70324,14721,16635,-371686,11067456
Georgia,2473633,2461854,62229,1013,1231,11779,4999960
Hawaii,366130,196864,5539,3822,2114,169266,574469
Idaho,287021,554119,16404,407,10063,-267098,868014
Illinois,3471915,2446891,66544,30494,17900,1025024,6033744
Indiana,1242416,1729519,59232,989,965,-487103,3033121
Iowa,759061,897672,19637,3075,11426,-138611,1690871
Kansas,570323,771406,30574,0,0,-201083,1372303
Kentucky,772474,1326646,26234,716,10698,-554172,2136768
Louisiana,856034,1255776,21645,0,14607,-399742,2148062
Maine,435072,360737,14152,8230,1270,74335,819461
Maryland,1985023,976414,33488,15799,26306,1008609,3037030
Massachusetts,2382202,1167202,47013,18658,16327,1215000,3631402
Michigan,2804040,2649852,60381,13718,11311,154188,5539302
Minnesota,1717077,1484065,34976,10033,31020,233012,3277171
Mississippi,539398,756764,8026,1498,8073,-217366,1313759
Missouri,1253014,1718736,41205,8283,4724,-465722,3025962
Montana,244786,343602,15252,0,34,-98816,603674
Nebraska,374583,556846,20283,0,4671,-182263,956383
Nevada,703486,669890,14783,0,17217,33596,1405376
New Hampshire,424937,365660,13236,217,2155,59277,806205
New Jersey,2608335,1883274,31677,14202,11865,725061,4549353
New Mexico,501614,401894,12585,4426,3446,99720,923965
New York,5230985,3244798,60234,32753,26056,1986187,8594826
North Carolina,2684292,2758775,48678,12195,20864,-74483,5524804
North Dakota,114902,235595,9393,0,1929,-120693,361819
Ohio,2679165,3154834,67569,18812,1822,-475669,5922202
Oklahoma,503890,1020280,24731,0,11798,-516390,1560699
Oregon,1340383,958448,41582,11831,22077,381935,2374321
Pennsylvania,3458229,3377674,79380,0,0,80555,6915283
Rhode Island,307486,199922,5053,0,5296,107564,517757
South Carolina,1091541,1385103,27916,6907,1862,-293562,2513329
South Dakota,150471,261043,11095,0,0,-110572,422609
Tennessee,1143711,1852475,29877,4545,23243,-708764,3053851
Texas,5259126,5890347,126243,33396,5944,-631221,11315056
Utah,560282,865140,38447,5053,19367,-304858,1488289
Vermont,242820,112704,3608,1310,6986,130116,367428
Virginia,2413568,1962430,64761,0,19765,451138,4460524
Washington,2369612,1584651,80500,18289,34579,784961,4087631
West Virginia,235984,545382,10687,2599,79,-309398,794731
Wisconsin,1630866,1610184,38491,1089,17411,20682,3298041
Wyoming,73491,193559,5768,0,3947,-120068,276765
